순번,분류체계ID,분류체계명,상위과제ID,분류체계단계,시행시기,수행기관,기관코드,분류체계경로
1758,B1000520070130000203188,"각종 공약, 지시사항의 관리",NB000420061201100027946,소기능,2013-03-23,교육부,1342000,"교육>>교육일반>>교육행정지원>>기획>>각종 공약, 지시사항의 관리"
1759,B1000520070130000203279,소년보호 행정업무 정보화,NB000420061201100042654,소기능,2007-01-30,법무부,1270000,공공질서및안전>>법무및검찰>>범죄예방정책>>소년보호행정>>소년보호 행정업무 정보화
1760,B1000520070130000203330,원격교육연수원 운영,NB000420061201100028623,소기능,2013-03-23,교육부,1342000,교육>>유아및초·중등교육>>학교교육내실화>>특수교육운영>>원격교육연수원 운영
1761,B1000520070131000203378,공직자 병역사항 신고,NB000420061201100061975,소기능,2007-01-31,통일부,1250000,통일·외교>>통일>>통일행정지원>>감사>>공직자 병역사항 신고
1762,B1000520070131000203402,초중등학교 체육폭력예방정책의 총괄,NB000420061201100028779,소기능,2013-03-23,교육부,1342000,교육>>유아및초·중등교육>>학생복지·안전강화>>학생건강 및 안전강화>>초중등학교 체육폭력예방정책의 총괄
1763,B1000520070131000203403,초중등학교 보건환경정책의 총괄,NB000420061201100028779,소기능,2013-03-23,교육부,1342000,교육>>유아및초·중등교육>>학생복지·안전강화>>학생건강 및 안전강화>>초중등학교 보건환경정책의 총괄
1764,B1000520070131000203404,초중등학교 환경정책의 총괄,NB000420061201100028779,소기능,2013-03-23,교육부,1342000,교육>>유아및초·중등교육>>학생복지·안전강화>>학생건강 및 안전강화>>초중등학교 환경정책의 총괄
1765,B1000520070131000203405,초중등학교 급식안전정책의 총괄,NB000420061201100028779,소기능,2013-03-23,교육부,1342000,교육>>유아및초·중등교육>>학생복지·안전강화>>학생건강 및 안전강화>>초중등학교 급식안전정책의 총괄
1766,B1000520070131000203414,정보화 기획,NB000420061201100051086,소기능,2014-02-07,농촌진흥청,1390000,농림>>농업·농촌>>농업·농촌기술지원>>기술정보화>>정보화 기획
1767,B1000520070131000203427,지방농촌진흥기관 정보화지원,NB000420061201100051086,소기능,2014-02-07,농촌진흥청,1390000,농림>>농업·농촌>>농업·농촌기술지원>>기술정보화>>지방농촌진흥기관 정보화지원
1768,B1000520070131000203455,교육연계추진업무,NB000420061201100027946,소기능,2013-03-23,교육부,1342000,교육>>교육일반>>교육행정지원>>기획>>교육연계추진업무
1769,B1000520070131000203458,"고령지 적응작물 품종개량, 재배법 개선 및 새로운 고부가가치 작물연구",NB000420061201100051075,소기능,2011-04-27,농촌진흥청,1390000,"농림>>농업·농촌>>농업기술연구·개발>>고령지작물연구>>고령지 적응작물 품종개량, 재배법 개선 및 새로운 고부가가치 작물연구"
1770,B1000520070201000203583,자사고 및 개방형 자율학교 시범운영 관리,NB000420061201100028397,소기능,2013-03-23,교육부,1342000,교육>>유아및초·중등교육>>학교교육내실화>>초중등교육정책>>자사고 및 개방형 자율학교 시범운영 관리
1771,B1000520070201000203591,지역 특화발전 특구,NB000420061201100028397,소기능,2013-03-23,교육부,1342000,교육>>유아및초·중등교육>>학교교육내실화>>초중등교육정책>>지역 특화발전 특구
1772,B1000520070201000203601,직업교육체제혁신,NB000420061201100028496,소기능,2013-03-23,교육부,1342000,교육>>유아및초·중등교육>>학교교육내실화>>과학실업교육정책>>직업교육체제혁신
1773,B1000520070201000203652,국유재산지원,B1000420070124000202640,소기능,2007-02-01,조달청,1230000,일반공공행정>>일반행정>>조달행정지원>>국유재산>>국유재산지원
1774,B1000520070201000203671,시험검사기관,NB000420061201100060498,소기능,2013-03-23,식품의약품안전처,1471000,보건>>식품의약안전>>식품의약안전행정지원>>감사>>시험검사기관
1775,B1000520070202000203714,전통시장 홍보일반,NB000420061130100005917,소기능,2017-07-26,중소벤처기업부,1421000,산업·통상·중소기업>>산업진흥·고도화>>소상공인>>전통시장>>전통시장 홍보일반
1776,B1000520070202000203733,정보화 총괄,NB000420061201100051086,소기능,2014-02-07,농촌진흥청,1390000,농림>>농업·농촌>>농업·농촌기술지원>>기술정보화>>정보화 총괄
1777,B1000520070205000203846,정부우선구매시책,NB000420061201100024366,소기능,2007-02-05,조달청,1230000,일반공공행정>>일반행정>>조달행정지원>>운영지원>>정부우선구매시책
1778,B1000520070205000203938,젖소 육종번식에 관한 연구,NB000420061201100051032,소기능,2011-04-28,농촌진흥청,1390000,농림>>농업·농촌>>농업기술연구·개발>>축산자원개발연구>>젖소 육종번식에 관한 연구
1779,B1000520070205000203954,"가축유전자원 보존, 복원 및 이용 연구",NB000420061201100051032,소기능,2014-02-06,농촌진흥청,1390000,"농림>>농업·농촌>>농업기술연구·개발>>축산자원개발연구>>가축유전자원 보존, 복원 및 이용 연구"
1780,B1000520070206000204003,공동주택 관리업,NB000420061213100114215,소기능,2013-03-23,국토교통부,1613000,사회복지>>주택>>주택정책>>주거환경정책 총괄>>공동주택 관리업
1781,B1000520070206000204023,방송통신융합 정책방안 마련 및 제도 정비,B1000420070130000203219,소기능,2008-02-29,국무총리실(구),1101000,일반공공행정>>국정운영>>국가적중장기과제추진·지원>>방송통신융합추진>>방송통신융합 정책방안 마련 및 제도 정비
1782,B1000520070206000204054,정책홍보,NB000420061201100032451,소기능,2008-02-29,국민권익위원회,1140100,일반공공행정>>국민권익·인권>>국민권익위행정지원>>홍보>>정책홍보
1783,B1000520070206000204065,심사,NB000420061201100060498,소기능,2013-03-23,식품의약품안전처,1471000,보건>>식품의약안전>>식품의약안전행정지원>>감사>>심사
1784,B1000520070207000204124,"고령지 적응작물 품종개량, 재배법 개선 및 새로운 고부가가치 작물 연구",NB000420061201100051075,소기능,2011-04-27,농촌진흥청,1390000,"농림>>농업·농촌>>농업기술연구·개발>>고령지작물연구>>고령지 적응작물 품종개량, 재배법 개선 및 새로운 고부가가치 작물 연구"
1785,B1000520070207000204135,새주소 법적주소 전환,B1000420080319000210938,소기능,2017-07-26,행정안전부,1741000,일반공공행정>>지방행정·재정지원>>지방세>>새주소정책>>새주소 법적주소 전환
1786,B1000520070207000204136,새주소 시설 사업,B1000420080319000210938,소기능,2017-07-26,행정안전부,1741000,일반공공행정>>지방행정·재정지원>>지방세>>새주소정책>>새주소 시설 사업
1787,B1000520070207000204137,새주소 정착을 위한 홍보 강화,B1000420080319000210938,소기능,2017-07-26,행정안전부,1741000,일반공공행정>>지방행정·재정지원>>지방세>>새주소정책>>새주소 정착을 위한 홍보 강화
1788,B1000520070207000204138,새주소 정보화  ,B1000420080319000210938,소기능,2017-07-26,행정안전부,1741000,일반공공행정>>지방행정·재정지원>>지방세>>새주소정책>>새주소 정보화  
1789,B1000520070207000204154,서남권등 낙후지역 투자촉진 정책 추진,B1000420070124000202623,소기능,2008-02-29,국무총리실(구),1101000,일반공공행정>>국정운영>>국가적중장기과제추진·지원>>서남권등낙후지역투자촉진추진>>서남권등 낙후지역 투자촉진 정책 추진
1790,B1000520070208000204175,안전관리기술개발,NB000420061207100085810,소기능,2017-07-26,행정안전부,1741000,공공질서및안전>>안전관리>>재난예방>>인적재난 관리>>안전관리기술개발
1791,B1000520070208000204206,양자간 기술규제 협력,NB000420061207100081921,소기능,2013-03-23,산업통상부,1451000,산업·통상·중소기업>>산업진흥·고도화>>산업기술표준및제품안전관리>>기술규제대응>>양자간 기술규제 협력
1792,B1000520070208000204207,방송기술 전문교육,NB000420061207100084470,소기능,2008-02-29,문화체육관광부,1371000,일반공공행정>>국정홍보>>영상홍보>>국정영상홍보>>방송기술 전문교육
1793,B1000520070209000204212,대리운전,NB000420061213100114291,소기능,2013-03-23,국토교통부,1613000,교통및물류>>물류등기타>>육상및광역교통정책>>운수정책 총괄>>대리운전
1794,B1000520070209000204214,독과점시장에 관한 시책의 수립·운용,NB000420061208100094261,소기능,2007-02-09,공정거래위원회,1130000,산업·통상·중소기업>>공정거래>>공정거래>>독과점시장개선>>독과점시장에 관한 시책의 수립·운용
1795,B1000520070209000204229,통상,B1000420070207000204082,소기능,2013-03-23,식품의약품안전처,1471000,보건>>식품의약안전>>식품의약안전행정지원>>통상협력>>통상
1796,B1000520070209000204230,FTA,B1000420070207000204082,소기능,2013-03-23,식품의약품안전처,1471000,보건>>식품의약안전>>식품의약안전행정지원>>통상협력>>FTA
1797,B1000520070209000204231,국제협력,B1000420070207000204082,소기능,2013-03-23,식품의약품안전처,1471000,보건>>식품의약안전>>식품의약안전행정지원>>통상협력>>국제협력
1798,B1000520070209000204233,공무국외여행 관리 ,B1000420070207000204082,소기능,2013-03-23,식품의약품안전처,1471000,보건>>식품의약안전>>식품의약안전행정지원>>통상협력>>공무국외여행 관리 
1799,B1000520070209000204240,소관 법령 및 제도에 대한 교육 및 홍보,NB000420061208100093906,소기능,2007-02-09,공정거래위원회,1130000,산업·통상·중소기업>>공정거래>>공정거래행정지원>>홍보>>소관 법령 및 제도에 대한 교육 및 홍보
1800,B1000520070209000204245,농촌체험관광 활성화와 품질관리,NB000420061201100051166,소기능,2007-02-12,농촌진흥청,1390000,농림>>농업·농촌>>농업·농촌기술지원>>농촌자원개발>>농촌체험관광 활성화와 품질관리
1801,B1000520070209000204263,농산물 부가가치 향상,NB000420061201100051166,소기능,2007-02-12,농촌진흥청,1390000,농림>>농업·농촌>>농업·농촌기술지원>>농촌자원개발>>농산물 부가가치 향상
1802,B1000520070209000204273,경제력집중 억제시책의 수립,NB000420061208100094044,소기능,2007-02-09,공정거래위원회,1130000,산업·통상·중소기업>>공정거래>>공정거래>>기업집단정책>>경제력집중 억제시책의 수립
1803,B1000520070209000204277,경제력집중억제제도 위반행위의 조사 및 시정조치,NB000420061208100094044,소기능,2007-02-09,공정거래위원회,1130000,산업·통상·중소기업>>공정거래>>공정거래>>기업집단정책>>경제력집중억제제도 위반행위의 조사 및 시정조치
1804,B1000520070209000204280,기업집단 관련 공시제도의 운영,NB000420061208100094044,소기능,2007-09-09,공정거래위원회,1130000,산업·통상·중소기업>>공정거래>>공정거래>>기업집단정책>>기업집단 관련 공시제도의 운영
1805,B1000520070209000204282,지주회사제도의 운영,NB000420061208100094044,소기능,2007-02-09,공정거래위원회,1130000,산업·통상·중소기업>>공정거래>>공정거래>>기업집단정책>>지주회사제도의 운영
1806,B1000520070209000204287,고용보험위원회 운영,NB000420061201100036365,소기능,2010-07-03,고용노동부,1492000,사회복지>>고용노동>>고용보험>>보험정책>>고용보험위원회 운영
1807,B1000520070210000204315,전자상거래소비자보호법과 관련한 신고업무 관리,NB000420061208100094414,소기능,2007-02-10,공정거래위원회,1130000,산업·통상·중소기업>>공정거래>>소비자보호>>전자상거래개선>>전자상거래소비자보호법과 관련한 신고업무 관리
1808,B1000520070210000204318,전자상거래소비자보호법 위반행위에 대한 조사 및 시정조치 등,NB000420061208100094414,소기능,2007-02-10,공정거래위원회,1130000,산업·통상·중소기업>>공정거래>>소비자보호>>전자상거래개선>>전자상거래소비자보호법 위반행위에 대한 조사 및 시정조치 등
1809,B1000520070210000204345,경쟁제한적 법령에 대한 협의,NB000420061208100094030,소기능,2007-02-10,공정거래위원회,1130000,산업·통상·중소기업>>공정거래>>공정거래>>제도법무개선>>경쟁제한적 법령에 대한 협의
1810,B1000520070210000204356,통·융합 등 신유형거래분야에 대한 조사 및 시정조치 등,NB000420061208100094131,소기능,2013-11-21,공정거래위원회,1130000,산업·통상·중소기업>>공정거래>>공정거래>>공정경쟁촉진>>통·융합 등 신유형거래분야에 대한 조사 및 시정조치 등
